positionOpenDate,positionTitle,appointmentType,maximumSalary,workSchedule,salaryType,state,clean_positionTitle,skill_set_0,skill_set_1,skill_set_2,year_month
2017-01-04,Powered Support Systems Mechanic- Military Requirement,Multiple,26.81,Full-time,Per Hour,Florida,powered support systems mechanic,0.06727820137269405,0.06800635271693976,0.8647154459103662,2017-01
2017-05-23,"Supervisory Public Affairs Specialist, GS-1035-12",Permanent,94197.0,Full-time,Per Year,Pennsylvania,supervisory public affairs,0.33412180774369826,0.08346414419477646,0.5824140480615253,2017-05
2016-12-19,Physician (Pulmonologist),Permanent,240000.0,Full-time,Per Year,West Virginia,physician pulmonologist,0.7670039560009722,0.11132964220195858,0.12166640179706932,2016-12
2016-12-19,Physician (Urologist),Permanent,400000.0,Full-time,Per Year,West Virginia,physician urologist,0.7672287972342343,0.11125679974127678,0.12151440302448877,2016-12
2017-01-04,Ordnance Equipment Mechanic - Military Requirement,Multiple,26.81,Full-time,Per Hour,Alabama,ordnance equipment mechanic,0.08361459778957368,0.0854678667881434,0.8309175354222829,2017-01
2017-01-04,Telecommunications Specialist (Military Requirement),Multiple,56229.0,Full-time,Per Year,Oklahoma,telecommunications,0.16724174586100582,0.1672906387210701,0.6654676154179241,2017-01
2016-01-12,ELECTRICIAN (NA-10),Permanent,24.36,Full-time,Per Hour,Hawaii,electrician,0.16723773453231963,0.16728592344249146,0.665476342025189,2016-01
2017-01-04,Aircraft Survival and Flight Equipment Repairer - Military Requirement,Multiple,25.69,Full-time,Per Hour,Washington,aircraft survival flight equipment repairer,0.05577483441884623,0.05649202589666201,0.8877331396844917,2017-01
2017-03-22,Air Conditioning Equipment Operator,Permanent,25.31,Full-time,Per Hour,Tennessee,air conditioning equipment operator,0.07488692638024616,0.845862852301984,0.07925022131776988,2017-03
2016-03-03,Supervisory Therapeutic Medical Physicist,Permanent,146570.0,Full-time,Per Year,New Jersey,supervisory therapeutic medical physicist,0.8661561558062413,0.066924364348352,0.06691947984540669,2016-03
2017-01-04,Aircraft Electrician - (Military Requirement),Multiple,26.81,Full-time,Per Hour,Arizona,aircraft electrician,0.11133146151428949,0.11134988200025697,0.7773186564854535,2017-01
2017-01-04,Sheet Metal Mechanic (Aircraft/Painter) (Military Requirement) ,Multiple,26.18,Full-time,Per Hour,Arizona,sheet metal mechanic aircraft painter,0.05578389231770134,0.05580201859790812,0.8884140890843906,2017-01
2016-01-01,MAINTENANCE MECHANIC (NA-09),Permanent,22.76,Full-time,Per Hour,Hawaii,maintenance mechanic,0.11118364099939405,0.11119946706363946,0.7776168919369665,2016-01
2016-01-06,Contract Specialist,Permanent,98669.0,Full-time,Per Year,Pennsylvania,,0.3333333333333333,0.3333333333333333,0.3333333333333333,2016-01
2017-02-15,Primary Care Physician,Permanent,215000.0,Full-time,Per Year,Pennsylvania,primary care physician,0.08803269925073526,0.0833656856826261,0.8286016150666387,2017-02
2016-01-18,Waiter (Banquets)  NA-01,Intermittent,8.42,Intermittent,Per Hour,North Carolina,waiter banquets,0.1118755098814428,0.11194017384994288,0.7761843162686144,2016-01
2016-01-15,Training Specialist,Permanent,119794.0,Full-time,Per Year,District of Columbia,training,0.1668415234352922,0.6663060124141722,0.16685246415053548,2016-01
2017-01-12,Physician - Primary Care,Permanent,225000.0,Full-time,Per Year,Virginia,physician primary care,0.08803269925073526,0.0833656856826261,0.8286016150666387,2017-01
2016-01-15,Training Specialist,Permanent,119794.0,Full-time,Per Year,New Mexico,training,0.1668415234352922,0.6663060124141722,0.16685246415053548,2016-01
2016-01-14,Respiratory Therapist (Certified),Agency Employees Only,52043.0,Multiple Schedules,Per Year,Kentucky,respiratory therapist certified,0.08523437553680298,0.8312256173911406,0.08354000707205642,2016-01
2016-01-14,Information Technology Specialist,Permanent,100736.0,Full-time,Per Year,District of Columbia,information technology,0.11118978471866493,0.1111919869679875,0.7776182283133476,2016-01
2016-01-15,"Human Resources Specialist, GG-0201-12, CENSUS-DE-DMM",Term,100736.0,Full-time,Per Year,District of Columbia,human resources dmm,0.08344364751202611,0.8331060603505098,0.08345029213746412,2016-01
2016-01-20,Soil Scientist,Permanent,92316.0,Full-time,Per Year,Texas,soil scientist,0.12103842873046919,0.16219687206794683,0.716764699201584,2016-01
2016-03-07,Resource Development Specialist ,Permanent,84044.0,Full-time,Per Year,Maryland,resource development,0.11130759628525572,0.7773726755051913,0.11131972820955285,2016-03
2016-01-22,"Supervisory Budget Analyst, GS-0560-12 (SRM-DEU)",Permanent,98984.0,Full-time,Per Year,California,supervisory budget srm,0.8192436973478429,0.09710935162316665,0.08364695102899046,2016-01
2017-04-20,Clinical Pharmacist,Permanent,118886.0,Part-time,Per Year,South Dakota,clinical pharmacist,0.777472446622297,0.11126584100727815,0.11126171237042481,2017-04
